id,strategy,average,average low CI,average high CI,difference,difference low CI,difference high CI,loyalty,loyalty low CI,loyalty high CI
63,homophily,5.056033333,4.972642435,5.139424232,1.0882,1.063679999,1.112720001,2.385839731,2.208510519,2.563168943
64,homophily,7.0984,7.019069662,7.177730338,1.321033333,1.27465464,1.367412027,3.901437232,2.681294284,5.121580181
65,homophily,6.1802,6.107601243,6.252798757,0.848466667,0.821974253,0.874959081,3.526842135,2.546123838,4.507560432
66,homophily,4.457433333,4.36742301,4.547443657,0.9599,0.935770677,0.984029323,2.951134283,2.521166914,3.381101653
68,homophily,2.560033333,2.483250553,2.636816113,0.876033333,0.855514226,0.89655244,3.389533612,2.685075263,4.09399196
69,homophily,6.273466667,6.216392808,6.330540525,0.8054,0.782690665,0.828109335,3.530116276,2.676205011,4.38402754
70,homophily,5.010483333,4.927464616,5.093502051,0.900716667,0.876394618,0.925038716,3.01474606,2.529038002,3.500454118
71,homophily,6.626383333,6.556312728,6.696453938,0.91185,0.886103506,0.937596494,3.478857628,2.65454084,4.303174416
72,homophily,5.339433333,5.256547087,5.42231958,1.1483,1.12440782,1.17219218,2.428610292,2.245100481,2.612120103
73,homophily,5.25955,5.155531346,5.363568654,1.310416667,1.278800574,1.34203276,2.350485671,2.187953875,2.513017468
74,homophily,5.56915,5.464056543,5.674243457,1.295583333,1.263568489,1.327598178,2.423723295,2.246090402,2.601356188
75,homophily,4.953416667,4.890318291,5.016515042,1.02565,0.991089495,1.060210505,2.610962884,2.405003213,2.816922554
76,homophily,4.720916667,4.64404548,4.797787853,1.130316667,1.101327048,1.159306286,2.278875689,2.136923322,2.420828055
77,homophily,5.77125,5.669549207,5.872950793,1.469183333,1.411701869,1.526664797,2.459724481,2.29304129,2.626407672
78,homophily,3.455416667,3.374781518,3.536051815,1.08075,1.053623069,1.107876931,2.605076649,2.357606078,2.85254722
80,homophily,5.6652,5.597994727,5.732405273,0.898466667,0.871001875,0.925931458,3.052986604,2.546259386,3.559713822
81,homophily,5.289533333,5.193403165,5.385663502,1.1693,1.137163058,1.201436942,2.532169337,2.300734491,2.763604183
82,homophily,6.245433333,6.172999941,6.317866725,0.9729,0.944133666,1.001666334,2.962087669,2.584798556,3.339376783
